tiempo,x,y,z,qx,qy,qz,qw
0.0,0.351,-0.411,0.045,0.248,0.65,-0.299,0.654
1.5405683864326043,0.3512896,-0.41018911999999996,0.056873599999999996,0.248,0.65,-0.299,0.654
3.0811367728652086,0.3525872,-0.40655584,0.11007520000000001,0.248,0.65,-0.299,0.654
4.621705159297813,0.3544128,-0.40144416,0.18492479999999994,0.248,0.65,-0.299,0.654
6.162273545730417,0.3557104,-0.39781088,0.23812640000000018,0.248,0.65,-0.299,0.654
7.702841932163022,0.356,-0.397,0.25,0.248,0.65,-0.299,0.654
